id_contratista_std,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_entidades_dif_r_2,num_entidades_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pentidades_r_2,pentidades_r_3,pnum_ic1k,pval_ic1k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
1,-49.25,-64.71000000000001,-81.54,173.85,-63.629999999999995,675.9000000000001,-40.06,-26.77,-69.13,1065.09,0,-33.33,0,0,-50,-63.160000000000004,6.100712663481871,12.581213521689456,1,1,-1.4705882352941124,4.385964912280715,18.58407079646018,27.737641158059077,1,1,1,1
184768,-33.33,0,699.4100000000001,-82.21000000000001,1099.11,-82.21000000000001,956.3599999999999,-82.21000000000001,2616.37,-95.06,0,0,0,0,-33.33,0,18.36734693877551,53.36118367093379,0,0,0,0,28.57142857142857,71.55434289634358,0,0,0,0
194204,250,0,89.91,0,-45.739999999999995,0,-67.25999999999999,0,-39.65,0,50,0,0,0,100,0,38.27160493827161,33.06747498434282,0,0,-42.85714285714286,0,55.55555555555556,41.27093505162646,0,0,0,0
221655,150,-40,125.99000000000001,-16.72,-9.6,38.81,9.520000000000001,8.91,-29.049999999999997,149.47,50,-66.67,0,0,50,-66.67,44,53.54128423407229,1,0,-40,-44.44444444444445,60,68.59083191850594,0,0,0,0
236305,-25,0,338.88,0,485.18,0,448.33,0,1168.1100000000001,0,0,0,0,0,50,0,38.77551020408163,32.748310077858825,0,0,100,0,57.14285714285714,42.14210065847032,0,0,0,0
243804,0,-50,0,-15.27,0,69.46,0,72.78,0,17.19,0,0,0,0,0,-25,35.147392290249435,30.633758626385045,0,0,0,50,52.38095238095239,42.97268955843966,0,0,0,0
258485,300,-50,7241.18,-63.94,1735.2900000000002,-27.87,1912.91,-34.23,0,20.4,100,-50,0,0,200,-33.33,30.61224489795918,41.6131975256613,1,1,-25,33.33333333333333,42.857142857142854,58.7915462664087,0,1,0,1
287944,-60,-50,-67.96,-28.26,-19.900000000000002,43.49,-28.95,43.49,146.07000000000002,0,-50,0,0,0,-50,0,40.625,39.283781007368425,0,0,25,100,50,48.96409587279859,1,1,1,1
303015,-50,0,-2.0500000000000003,0,95.89,0,95.89,0,0,0,0,0,0,0,-50,0,33.33333333333333,38.02004752568061,0,0,0,0,33.33333333333333,49.48148647007744,0,0,0,0
316025,-40,0,-71.50999999999999,0,-52.51,0,43.88,0,-91.75,0,100,0,0,0,0,0,46.875,42.898900738827955,0,0,66.66666666666666,0,62.5,57.26705701841935,0,0,0,0
